layer,tokens,time_us
embedding,1,4.32
embedding,2,4.575
embedding,3,4.8
embedding,4,5.055
embedding,5,5.472
embedding,6,5.728
embedding,7,5.919
embedding,8,6.047
embedding,9,6.56
embedding,10,6.816
embedding,11,7.071
embedding,12,7.329
embedding,13,7.681
embedding,14,7.936
embedding,15,8.192
embedding,16,8.256
embedding,20,3.616
embedding,24,3.52
embedding,28,3.744
embedding,32,3.583
embedding,36,3.776
embedding,40,3.712
embedding,44,3.872
embedding,48,3.776
embedding,52,4
embedding,56,3.936
embedding,60,4.096
embedding,64,4
embedding,80,4.161
embedding,96,4.256
embedding,112,4.224
embedding,128,4.32
embedding,144,4.577
embedding,160,4.608
embedding,176,4.672
embedding,192,4.705
embedding,208,4.672
embedding,224,4.736
embedding,240,4.8
embedding,256,4.896
embedding,272,5.184
embedding,288,5.12
embedding,304,5.216
embedding,320,5.216
embedding,336,5.311
embedding,352,5.279
embedding,368,5.312
embedding,384,5.409
embedding,400,5.664
embedding,416,5.696
embedding,432,5.696
embedding,448,5.664
embedding,464,5.824
embedding,480,5.856
embedding,496,5.824
embedding,512,5.824
embedding,528,5.92
embedding,544,5.952
embedding,560,5.92
embedding,576,6.175
embedding,592,6.145
embedding,608,6.047
embedding,624,6.208
embedding,640,6.209
embedding,656,6.208
embedding,672,6.176
embedding,688,6.367
embedding,704,6.24
embedding,720,6.24
embedding,736,6.304
embedding,752,6.336
embedding,768,6.272
embedding,784,6.368
embedding,800,6.336
embedding,816,6.432
embedding,832,6.495
embedding,848,6.592
embedding,864,6.592
embedding,880,6.592
embedding,896,6.527
embedding,912,6.624
embedding,928,6.591
embedding,944,6.72
embedding,960,6.688
embedding,976,6.751
embedding,992,6.88
embedding,1008,6.912
embedding,1024,6.849
final_layernorm,1,3.008
final_layernorm,2,2.848
final_layernorm,3,2.88
final_layernorm,4,2.88
final_layernorm,5,2.912
final_layernorm,6,2.912
final_layernorm,7,2.912
final_layernorm,8,2.912
final_layernorm,9,3.008
final_layernorm,10,2.912
final_layernorm,11,2.944
final_layernorm,12,2.945
final_layernorm,13,2.911
final_layernorm,14,2.944
final_layernorm,15,2.943
final_layernorm,16,2.976
final_layernorm,20,2.944
final_layernorm,24,3.071
final_layernorm,28,3.104
final_layernorm,32,3.104
final_layernorm,36,3.104
final_layernorm,40,3.136
final_layernorm,44,3.233
final_layernorm,48,3.232
final_layernorm,52,3.329
final_layernorm,56,3.456
final_layernorm,60,3.52
final_layernorm,64,3.68
final_layernorm,80,3.744
final_layernorm,96,4.673
final_layernorm,112,4.832
final_layernorm,128,4.96
final_layernorm,144,5.088
final_layernorm,160,5.344
final_layernorm,176,6.304
final_layernorm,192,6.368
final_layernorm,208,6.432
final_layernorm,224,6.56
final_layernorm,240,6.944
final_layernorm,256,4.224
final_layernorm,272,4.352
final_layernorm,288,4.512
final_layernorm,304,4.544
final_layernorm,320,4.577
final_layernorm,336,4.736
final_layernorm,352,4.896
final_layernorm,368,4.928
final_layernorm,384,4.96
final_layernorm,400,5.312
final_layernorm,416,5.312
final_layernorm,432,5.568
final_layernorm,448,5.792
final_layernorm,464,5.984
final_layernorm,480,6.304
final_layernorm,496,7.136
final_layernorm,512,8.032
final_layernorm,528,8
final_layernorm,544,8.576
final_layernorm,560,8.672
final_layernorm,576,8.672
final_layernorm,592,9.152
final_layernorm,608,9.632
final_layernorm,624,10.304
final_layernorm,640,10.816
final_layernorm,656,10.56
final_layernorm,672,11.264
final_layernorm,688,11.648
final_layernorm,704,12.352
final_layernorm,720,12.607
final_layernorm,736,12.512
final_layernorm,752,12.704
final_layernorm,768,13.632
final_layernorm,784,13.312
final_layernorm,800,13.984
final_layernorm,816,14.24
final_layernorm,832,14.784
final_layernorm,848,15.552
final_layernorm,864,15.808
final_layernorm,880,16.095
final_layernorm,896,16.736
final_layernorm,912,17.568
final_layernorm,928,17.536
final_layernorm,944,18.592
final_layernorm,960,18.56
final_layernorm,976,18.848
final_layernorm,992,19.328
final_layernorm,1008,19.423
final_layernorm,1024,20.096
layernorm,1,2.704
layernorm,2,2.6555
layernorm,3,2.656
layernorm,4,2.7045
layernorm,5,2.672
layernorm,6,2.704
layernorm,7,2.688
layernorm,8,2.672
layernorm,9,2.672
layernorm,10,2.672
layernorm,11,2.704
layernorm,12,2.7205
layernorm,13,2.704
layernorm,14,2.736
layernorm,15,2.7525
layernorm,16,2.736
layernorm,20,2.768
layernorm,24,2.864
layernorm,28,2.8965
layernorm,32,2.976
layernorm,36,3.024
layernorm,40,3.0875
layernorm,44,3.168
layernorm,48,3.2325
layernorm,52,3.2955
layernorm,56,3.3755
layernorm,60,3.4725
layernorm,64,3.568
layernorm,80,3.8715
layernorm,96,4.3045
layernorm,112,4.432
layernorm,128,4.48
layernorm,144,4.512
layernorm,160,4.688
layernorm,176,5.056
layernorm,192,5.184
layernorm,208,5.312
layernorm,224,5.3435
layernorm,240,5.44
layernorm,256,4.112
layernorm,272,4.3515
layernorm,288,4.4955
layernorm,304,4.528
layernorm,320,4.752
layernorm,336,4.848
layernorm,352,4.96
layernorm,368,4.496
layernorm,384,4.624
layernorm,400,5.104
layernorm,416,5.2635
layernorm,432,5.136
layernorm,448,5.184
layernorm,464,5.3275
layernorm,480,5.488
layernorm,496,6.3365
layernorm,512,6.5285
layernorm,528,6.912
layernorm,544,6.928
layernorm,560,6.864
layernorm,576,7.152
layernorm,592,7.28
layernorm,608,7.168
layernorm,624,7.536
layernorm,640,7.424
layernorm,656,7.456
layernorm,672,7.184
layernorm,688,7.727
layernorm,704,7.7755
layernorm,720,7.6
layernorm,736,7.8715
layernorm,752,7.984
layernorm,768,8.5125
layernorm,784,8.672
layernorm,800,8.944
layernorm,816,9.12
layernorm,832,9.44
layernorm,848,10.8965
layernorm,864,10.752
layernorm,880,11.12
layernorm,896,11.3435
layernorm,912,11.072
layernorm,928,11.504
layernorm,944,11.4565
layernorm,960,11.632
layernorm,976,11.872
layernorm,992,12.128
layernorm,1008,12.4155
layernorm,1024,12.928
o_proj,1,27.008
o_proj,2,35.936
o_proj,3,36.032
o_proj,4,35.999
o_proj,5,36.097
o_proj,6,36.032
o_proj,7,36.191
o_proj,8,35.999
o_proj,9,35.999
o_proj,10,43.552
o_proj,11,43.551
o_proj,12,43.68
o_proj,13,43.744
o_proj,14,43.553
o_proj,15,43.552
o_proj,16,43.616
o_proj,20,34.017
o_proj,24,34.016
o_proj,28,29.12
o_proj,32,28.896
o_proj,36,30.048
o_proj,40,30.144
o_proj,44,29.344
o_proj,48,29.824
o_proj,52,30.207
o_proj,56,30.144
o_proj,60,30.368
o_proj,64,30.784
